time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
505333,0.02,-0.07,1.01,4.39,-1.89,-12.94
505349,0.01,-0.03,1.00,2.08,-1.83,2.44
505365,-0.01,-0.08,1.00,4.03,-1.53,4.15
505381,-0.01,-0.17,1.01,3.36,-1.40,9.95
505397,0.04,-0.21,1.01,1.40,-1.59,17.82
505413,0.04,-0.23,1.01,0.12,-1.59,19.78
505429,0.03,-0.23,1.01,-1.77,-1.83,17.03
505445,0.02,-0.22,1.01,0.61,-1.53,6.53
505461,0.01,-0.20,1.01,-0.18,-1.95,0.37
505477,0.01,-0.19,1.00,1.95,-2.20,-9.46
505493,0.01,-0.19,1.01,3.11,-1.95,-12.94
505509,0.01,-0.18,1.01,1.59,-1.89,-13.67
505525,0.01,-0.13,1.01,0.67,-2.38,-16.66
505541,0.01,-0.12,1.00,-0.24,-2.81,-19.04
505557,-0.00,-0.11,1.00,0.37,-3.11,-18.31
505573,-0.02,-0.07,1.00,2.69,-2.87,-16.91
505589,0.01,-0.08,1.01,3.05,-2.38,-12.70
505605,0.01,-0.08,1.01,0.85,-2.44,-8.12
505621,0.01,-0.09,1.00,-3.05,-2.01,-2.75
505637,0.00,-0.08,1.01,-2.44,-1.10,-4.82
505653,0.01,-0.06,1.04,-5.43,-1.89,-6.53
505669,-0.03,-0.05,0.98,9.89,-2.38,-6.96
505685,-0.03,0.01,1.01,5.13,-1.89,-9.89
505701,-0.04,0.00,1.00,3.42,-1.71,-10.62
505717,-0.06,-0.03,1.00,0.67,-2.87,-13.85
505733,-0.01,-0.03,0.99,-5.25,-2.81,-17.94
505749,-0.03,-0.00,0.99,-0.31,-1.53,-22.52
505765,-0.01,0.11,1.01,6.53,-1.89,-30.70
505781,0.00,0.15,1.00,3.54,-2.75,-31.31
505797,-0.01,0.27,1.00,5.13,-2.50,-29.85
505813,0.02,0.28,1.00,4.15,-1.16,-21.24
505829,0.03,0.29,1.01,0.31,-1.34,-3.17
505845,-0.02,0.26,1.00,1.10,-1.46,4.21
505861,-0.04,0.28,1.00,2.69,-1.89,6.77
505877,-0.03,0.30,1.00,3.54,-1.59,-0.24
505893,-0.00,0.34,0.99,4.76,-1.59,-3.42
505909,0.02,0.39,0.99,3.91,-1.53,-3.78
505925,-0.00,0.37,0.99,3.54,-1.83,14.22
505941,0.05,0.10,1.00,-4.64,-2.75,-1.77
505957,0.01,0.14,1.00,-3.54,-3.17,-11.54
505973,-0.01,0.18,1.01,-5.43,-2.93,-13.92
505989,-0.03,0.27,0.98,-3.91,-2.56,-18.07
506005,-0.03,0.36,1.01,11.17,-2.20,-21.97
506021,-0.04,0.36,1.01,11.35,-1.53,-20.75
506037,-0.01,0.26,1.00,5.19,-0.85,-9.40
506053,0.00,0.14,1.00,2.50,-1.40,7.20
506069,-0.02,0.10,1.00,1.34,-2.14,13.49
506085,-0.05,0.09,1.00,0.55,-2.81,19.23
506101,-0.02,0.15,1.00,0.55,-2.69,21.24
506117,0.00,0.16,0.99,-0.31,-2.14,20.63
506133,0.01,0.15,1.00,2.38,-1.46,21.18
506149,-0.02,0.06,1.00,0.55,-1.89,26.18
506165,-0.03,-0.01,1.00,-0.49,-2.08,29.54
506181,-0.02,-0.11,1.00,-1.46,-1.46,31.13
506197,-0.04,-0.10,1.00,-0.43,-1.28,22.83
506213,-0.03,-0.06,1.01,1.46,-1.59,16.85
506229,0.02,-0.03,1.00,2.38,-1.83,13.00
506245,0.03,-0.02,1.00,1.65,-1.65,16.36
506261,0.01,-0.02,1.01,0.55,-1.34,17.52
506277,0.00,-0.10,1.01,2.69,-1.22,15.38
506293,-0.01,-0.04,1.00,-0.92,-1.53,8.97
506309,-0.00,-0.00,1.01,0.18,-2.38,7.14
506325,0.07,0.02,1.00,-0.12,-1.89,12.45
506341,0.06,-0.00,1.01,1.46,-1.53,20.51
506357,0.01,0.00,1.00,2.20,-1.40,22.34
506373,-0.02,-0.04,1.00,3.78,-1.16,22.95
506389,-0.00,-0.11,1.00,5.43,-1.10,21.91
506405,-0.01,-0.12,1.00,4.94,-1.28,19.10
506421,0.00,-0.06,1.00,3.54,-1.04,15.87
506437,0.01,-0.05,1.00,-2.62,-1.34,17.82
506453,-0.00,-0.05,1.00,-1.28,-1.65,18.74
506469,-0.02,-0.06,1.01,0.49,-1.71,21.73
506485,-0.01,-0.18,1.01,0.67,-1.71,25.15
506501,-0.00,-0.23,1.01,1.40,-1.28,25.15
506517,0.02,-0.32,1.01,2.62,-1.16,18.98
506533,0.01,-0.36,1.01,2.26,-1.53,8.18
506549,0.00,-0.37,1.01,1.22,-1.77,2.69
506565,-0.00,-0.01,1.01,1.53,-2.08,-0.73
506581,0.01,-0.09,1.01,0.43,-1.40,10.44
506597,-0.00,-0.14,1.01,2.20,-0.98,18.37
506613,0.02,-0.22,1.00,2.01,-0.61,32.17
506629,0.04,-0.29,1.01,1.65,-0.55,37.66
506645,0.03,-0.32,1.01,0.37,-0.79,36.99
506661,-0.02,-0.30,1.01,-0.55,-1.89,27.71
506677,0.00,-0.26,1.00,-0.61,-2.32,9.52
506693,0.01,-0.24,1.00,0.61,-2.44,0.79
506709,-0.00,-0.16,1.00,3.42,-2.81,-11.23
506725,0.01,-0.13,1.01,1.16,-3.11,-12.57
506741,0.01,-0.11,1.01,-0.24,-2.69,-10.01
506757,0.02,-0.11,1.00,-1.40,-1.65,-4.27
506773,0.00,-0.09,1.00,1.53,-2.69,-0.98
506789,0.00,-0.08,1.00,2.44,-2.44,-1.77
506805,0.01,-0.09,1.00,1.28,-2.32,-2.26
506821,0.00,-0.09,1.00,3.78,-1.46,-2.32
506837,-0.05,-0.06,1.01,0.85,-1.65,-4.88
506853,-0.04,-0.00,1.02,-3.91,-2.44,-15.69
506869,-0.02,-0.04,0.93,6.77,-3.05,-16.36
506885,-0.01,0.06,1.01,4.82,-2.93,-13.73
506901,0.00,0.07,1.00,2.01,-1.71,-10.74
506917,-0.00,0.06,1.01,5.86,-1.95,-6.16
506933,-0.04,0.01,1.02,1.53,-1.59,-6.84
506949,-0.05,0.03,1.00,-2.87,-1.83,-14.16
506965,-0.03,0.05,1.00,-3.30,-2.26,-21.97
506981,-0.03,0.12,1.00,-6.16,-2.38,-23.38
506997,-0.02,0.17,0.97,-2.26,-2.50,-21.42
507013,-0.01,0.18,0.99,3.78,-2.20,-19.29
507029,0.01,0.13,1.00,7.93,-1.10,-13.00
507045,0.01,0.09,1.01,6.41,-1.40,-9.52
507061,0.00,0.09,1.01,3.54,-1.65,-10.80
507077,-0.00,0.13,1.00,-0.92,-1.95,-16.11
507093,0.01,0.18,0.99,-1.71,-2.44,-18.86
507109,0.00,0.22,0.99,0.37,-2.69,-19.90
507125,0.02,0.31,1.01,9.16,-3.11,-21.18
507141,0.02,0.37,1.01,8.24,-2.69,-15.38
507157,0.03,0.39,1.00,4.33,-2.38,-10.19
507173,0.02,0.19,1.03,1.89,-1.89,-0.55
507189,-0.02,0.12,1.01,-10.07,-1.83,-2.08
507205,-0.02,0.12,1.00,-13.85,-1.95,-13.00
507221,0.01,0.20,0.99,-3.05,-1.95,-33.14
507237,0.03,0.33,1.00,9.89,-2.08,-39.92
507253,0.02,0.37,1.00,11.05,-2.08,-37.78
507269,0.00,0.40,0.99,10.31,-1.71,-27.04
507285,-0.00,0.37,1.01,10.86,-1.59,-10.13
507301,-0.00,0.35,1.01,6.77,-1.53,0.00
507317,0.01,0.24,1.00,-0.92,-1.46,23.01
507333,-0.00,0.15,1.01,-1.53,-1.71,38.02
507349,-0.00,0.12,1.00,-2.62,-2.32,38.33
507365,-0.01,0.08,0.98,-2.87,-2.08,30.88
507381,-0.04,0.10,1.00,8.42,-1.28,21.73
507397,-0.04,0.09,1.01,5.74,-1.16,19.17
507413,-0.01,0.07,1.00,1.16,-2.32,22.46
507429,-0.01,0.03,1.00,-2.32,-1.71,30.58
507445,-0.01,0.00,1.00,-1.83,-0.98,33.26
