time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
94405,-0.09,0.13,1.00,3.78,-1.83,11.72
94421,-0.09,0.10,1.01,2.14,-2.14,13.85
94437,-0.09,0.07,1.00,0.55,-2.08,17.82
94453,-0.09,0.08,1.00,-1.77,-1.59,18.62
94469,-0.10,0.09,1.00,-2.08,-1.65,17.88
94485,-0.12,0.09,1.01,0.79,-1.22,16.78
94501,-0.13,0.07,1.00,2.20,-1.77,18.86
94517,-0.13,0.05,1.01,2.93,-1.83,20.39
94533,-0.12,0.02,1.00,3.11,-2.08,22.89
94549,-0.10,0.03,1.00,1.83,-1.34,21.97
94565,-0.09,0.03,1.00,1.46,-1.10,21.55
94581,-0.08,0.04,1.00,1.53,-0.98,19.90
94597,-0.08,0.05,1.00,2.20,-1.28,19.04
94613,-0.07,0.05,1.01,2.32,-1.59,18.55
94629,-0.07,0.04,1.00,2.08,-1.95,19.53
94645,-0.08,0.01,1.00,0.24,-2.14,23.80
94661,-0.07,-0.02,1.00,-0.06,-2.01,25.63
94677,-0.09,-0.00,1.00,0.61,-1.59,25.88
94693,-0.08,0.01,1.00,1.77,-2.01,21.73
94709,-0.08,0.00,1.01,2.87,-2.44,21.55
94725,-0.10,-0.01,1.00,2.44,-2.08,23.86
94741,-0.11,-0.03,1.00,2.99,-1.77,23.93
94757,-0.12,-0.02,1.00,2.69,-1.53,23.62
94773,-0.11,-0.04,1.00,3.17,-0.92,23.86
94789,-0.12,-0.04,1.00,1.22,-1.16,26.00
94805,-0.11,-0.06,1.01,0.24,-1.28,25.76
94821,-0.13,-0.08,1.00,-2.20,-1.46,23.25
94837,-0.16,-0.04,1.00,0.92,-0.67,19.17
94853,-0.14,-0.03,1.00,1.28,-1.16,17.58
94869,-0.08,-0.05,1.00,4.70,-0.49,17.03
94885,-0.08,-0.13,1.01,3.48,-0.98,19.35
94901,-0.06,-0.16,1.01,2.75,-1.34,20.26
94917,-0.07,-0.19,1.01,0.61,-1.10,18.68
94933,-0.03,-0.17,1.00,1.89,-2.20,12.76
94949,-0.04,-0.18,1.01,0.73,-1.77,9.46
94965,-0.01,-0.21,1.01,-0.67,-1.46,5.49
94981,-0.00,-0.24,1.01,0.37,-1.34,8.67
94997,-0.02,-0.24,1.01,0.98,-1.65,10.74
95013,0.00,-0.23,1.02,-1.28,-0.98,10.31
95029,0.04,-0.22,1.01,3.17,-1.04,4.27
95045,0.09,-0.21,1.00,3.30,-0.85,1.71
95061,0.13,-0.22,1.01,0.85,-1.28,-0.61
95077,0.10,-0.24,1.01,4.76,-2.08,-3.97
95093,0.08,-0.23,1.01,4.94,-2.08,-6.53
95109,0.05,-0.22,1.00,2.14,-2.99,-10.25
95125,0.09,-0.22,1.01,-0.06,-2.62,-11.60
95141,0.09,-0.22,1.01,-0.61,-2.26,-11.72
95157,0.14,-0.19,1.01,3.17,-1.59,-12.88
95173,0.17,-0.15,1.00,0.18,-1.22,-16.54
95189,0.16,-0.13,1.00,0.24,-1.16,-18.49
95205,0.18,-0.07,1.00,2.08,-2.44,-19.47
95221,0.20,-0.04,1.02,3.78,-2.20,-20.39
95237,0.21,0.04,1.01,5.80,-2.26,-19.71
95253,0.19,0.05,1.01,-0.55,-2.56,-17.40
95269,0.22,0.06,1.01,2.56,-2.50,-15.75
95285,0.22,0.05,1.00,2.75,-2.44,-17.33
95301,0.19,0.06,1.01,-2.32,-2.50,-19.96
