time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
42933,-0.15,0.16,1.23,0.49,34.18,-3.91
42949,-0.16,0.14,1.27,7.39,30.82,1.89
42965,-0.13,0.15,1.32,16.24,17.64,4.15
42981,-0.11,0.15,1.33,12.82,7.81,4.21
42997,-0.12,0.15,1.32,8.00,4.39,4.39
43013,-0.14,0.15,1.31,6.65,0.92,4.27
43029,-0.15,0.16,1.32,6.10,0.92,2.14
43045,-0.14,0.17,1.34,4.76,2.01,0.98
43061,-0.12,0.19,1.40,-1.59,5.00,-0.18
43077,-0.14,0.20,1.45,0.61,4.70,2.14
43093,-0.16,0.19,1.47,2.93,-0.24,4.94
43109,-0.20,0.17,1.51,5.49,-12.51,10.99
43125,-0.21,0.14,1.53,1.59,-20.94,12.57
43141,-0.22,0.13,1.52,-1.83,-24.60,11.11
43157,-0.21,0.11,1.46,-8.06,-32.47,7.87
43173,-0.19,0.10,1.40,-7.81,-40.22,5.98
43189,-0.18,0.10,1.37,-7.20,-43.58,5.25
43205,-0.18,0.12,1.29,-7.51,-48.34,3.30
43221,-0.16,0.12,1.20,-13.18,-50.11,3.36
43237,-0.15,0.10,1.16,-16.36,-49.68,4.46
43253,-0.11,0.06,1.09,-19.78,-47.06,6.47
43269,-0.09,0.04,1.04,-16.78,-43.64,6.29
43285,-0.09,0.03,1.02,-15.32,-41.87,5.86
43301,-0.08,0.03,1.00,-8.18,-36.87,4.76
43317,-0.07,0.02,1.03,-3.05,-31.80,5.00
43333,-0.06,0.01,1.05,-2.50,-30.09,5.07
43349,-0.03,-0.01,1.05,-7.63,-31.13,3.23
43365,-0.01,-0.03,1.01,-10.56,-36.74,1.89
43381,0.00,-0.02,0.99,-9.16,-40.95,1.65
43397,0.02,0.00,0.93,-0.06,-49.32,0.49
43413,0.05,0.05,0.88,13.12,-55.24,0.00
43429,0.07,0.07,0.87,17.27,-56.15,1.59
43445,0.10,0.10,0.86,15.75,-51.45,7.20
43461,0.12,0.08,0.85,5.68,-42.05,11.35
43477,0.11,0.06,0.83,1.83,-38.09,13.06
43493,0.09,0.04,0.80,-0.24,-35.58,16.48
43509,0.10,0.04,0.77,0.79,-40.16,17.58
43525,0.12,0.05,0.74,0.67,-43.03,16.97
43541,0.14,0.06,0.68,-2.75,-47.12,15.44
43557,0.15,0.05,0.58,-8.73,-48.28,17.09
43573,0.17,0.04,0.53,-11.35,-48.03,19.23
43589,0.18,0.00,0.44,-14.65,-46.63,24.29
43605,0.20,-0.05,0.40,-15.32,-40.16,29.17
43621,0.20,-0.08,0.38,-16.30,-34.12,30.27
43637,0.21,-0.14,0.37,-21.24,-20.08,28.50
43653,0.21,-0.17,0.37,-25.45,-5.00,21.91
43669,0.21,-0.20,0.37,-25.63,2.26,16.54
43685,0.23,-0.19,0.40,-19.65,16.24,4.03
43701,0.23,-0.17,0.42,-7.93,31.37,-8.79
43717,0.18,-0.11,0.50,-2.38,39.00,-12.70
43733,0.17,-0.07,0.61,5.25,54.08,-17.15
43749,0.17,-0.06,0.66,7.02,57.07,-16.54
43765,0.16,-0.04,0.76,8.61,54.87,-14.47
43781,0.13,-0.02,0.83,7.69,47.42,-8.61
43797,0.10,-0.02,0.86,3.17,44.07,-5.74
43813,0.05,-0.04,0.88,-6.23,42.05,-2.87
43829,-0.01,-0.04,0.92,-6.77,42.79,-5.13
43845,0.03,-0.04,0.93,-7.02,41.50,-6.96
43861,0.10,-0.05,0.92,-5.80,37.11,-6.29
43877,0.07,-0.06,0.95,4.46,39.00,2.99
43893,0.03,-0.06,0.99,8.79,41.63,7.02
43909,-0.03,-0.07,1.04,7.93,45.72,8.85
43925,-0.03,-0.08,1.05,0.49,44.01,5.31
43941,-0.00,-0.08,1.05,-1.53,41.14,2.62
43957,0.01,-0.07,1.03,0.55,36.13,-0.85
43973,-0.01,-0.03,1.03,6.29,36.25,-0.55
43989,-0.03,-0.01,1.04,6.90,38.45,-0.49
44005,-0.07,0.00,1.07,-0.61,44.25,-0.43
44021,-0.08,-0.01,1.06,-7.14,46.57,0.06
44037,-0.07,-0.02,1.04,-5.19,44.80,0.43
44053,-0.06,0.02,1.08,7.87,38.39,2.20
44069,-0.10,-0.04,1.11,5.62,41.26,3.42
44085,-0.09,0.03,1.22,25.21,41.44,4.88
44101,-0.09,0.01,1.19,-0.98,38.57,-9.16
44117,-0.14,0.05,1.21,11.72,44.13,-10.56
44133,-0.15,0.07,1.24,15.01,41.32,-8.42
44149,-0.14,0.09,1.27,12.08,33.75,-2.08
44165,-0.15,0.05,1.29,10.07,31.25,7.32
44181,-0.16,0.03,1.29,13.79,28.81,10.38
44197,-0.17,0.05,1.33,23.93,21.79,9.70
44213,-0.15,0.07,1.35,21.79,14.83,7.08
44229,-0.15,0.06,1.34,15.99,12.02,7.26
44245,-0.19,0.03,1.33,9.64,9.03,7.26
44261,-0.21,0.03,1.40,15.50,7.32,6.59
44277,-0.21,0.04,1.42,14.71,6.90,3.97
44293,-0.22,0.07,1.49,15.38,5.19,1.10
44309,-0.25,0.10,1.53,14.95,0.06,0.00
44325,-0.25,0.10,1.54,13.06,-2.99,0.37
44341,-0.28,0.09,1.56,11.11,-9.77,3.78
44357,-0.29,0.05,1.54,10.01,-21.97,7.57
44373,-0.28,0.03,1.52,10.13,-28.93,9.16
44389,-0.27,0.03,1.45,9.58,-41.32,9.03
44405,-0.26,0.03,1.34,3.05,-49.99,4.88
44421,-0.25,0.03,1.28,0.37,-51.94,2.08
44437,-0.21,0.04,1.18,-4.52,-52.06,-1.83
44453,-0.17,0.05,1.10,-5.37,-48.89,-1.46
44469,-0.15,0.05,1.07,-6.53,-47.55,-0.18
44485,-0.13,0.05,1.01,-10.80,-43.76,2.01
44501,-0.11,0.04,0.97,-11.05,-39.25,2.44
44517,-0.10,0.03,0.96,-11.17,-37.29,1.46
44533,-0.09,0.02,0.94,-13.12,-36.38,-1.34
44549,-0.07,0.01,0.95,-12.88,-38.39,0.18
44565,-0.06,0.01,0.96,-11.54,-39.67,1.53
44581,-0.04,0.00,0.99,-7.45,-42.24,3.23
44597,-0.05,-0.01,0.99,-4.94,-48.28,6.04
44613,-0.05,-0.02,0.98,-5.37,-52.92,7.93
44629,-0.02,-0.04,0.92,-8.48,-62.87,8.91
44645,0.03,-0.06,0.84,-9.34,-69.52,6.47
44661,0.04,-0.06,0.80,-6.47,-70.25,5.74
44677,0.07,-0.04,0.76,-2.87,-68.30,4.70
44693,0.08,-0.04,0.70,-6.53,-62.99,4.03
44709,0.09,-0.03,0.68,-9.77,-59.33,4.03
44725,0.15,-0.03,0.64,-16.05,-49.44,2.20
44741,0.17,-0.03,0.62,-13.92,-39.98,-0.61
44757,0.16,-0.02,0.59,-10.99,-37.29,-0.79
44773,0.16,-0.01,0.56,-3.17,-34.00,2.01
44789,0.16,-0.01,0.56,-0.67,-32.10,5.98
